r_no	u_no	s_no	income	expense
15532	38	10162	9565	0
15533	66	14071	20289	0
15534	208	7694	966	0
15535	122	373	24347	0
15536	201	7620	7729	0
15537	20	12178	4057	0
15538	140	5778	19130	0
15539	43	13563	2125	0
15540	68	15030	8792	0
15541	107	9010	22995	0
15542	23	13345	4251	0
15543	202	2653	1352	0
15544	145	4103	5410	0
15545	91	13626	12850	0
15546	41	11270	7826	0
15547	121	2432	1159	0
15548	45	3369	0	4251
15549	127	13914	16231	0
15550	119	5473	4057	0
15551	20	883	17584	0
15552	142	3959	9468	0
15553	191	10633	5410	0
15554	173	10341	11304	0
15555	22	1839	3091	0
15556	134	14168	24347	0
15557	36	5421	0	0
15558	123	6308	20000	0
15559	102	3791	2705	0
15560	151	3467	8212	0
15561	79	1148	2512	0
15562	127	2145	0	1739
15563	216	1388	1256	0
15564	163	12664	25700	0
15565	180	6911	20096	0
15566	109	2664	24347	0
15567	31	13863	10048	0
15568	163	3121	8115	0
15569	215	8669	3768	0
15570	65	3141	8695	0
15571	80	12228	6763	0
15572	51	2003	3478	0
15573	133	288	8695	0
15574	135	5087	25507	0
15575	87	13944	6956	0
15576	2	13552	193	0
15577	217	13541	27053	0
15578	153	14894	6280	0
15579	131	5089	2705	0
15580	55	12405	2898	0
15581	8	6764	8695	0
15582	187	15320	9661	0
15583	6	2195	13816	0
15584	154	4338	22415	0
15585	40	12942	13913	0
15586	56	7444	8502	0
15587	135	1310	22995	0
15588	126	12748	1159	0
15589	183	11961	0	8502
15590	83	10316	24637	0
15591	101	8588	39130	0
15592	77	1432	24347	0
15593	186	8083	37874	0
15594	76	14799	3864	0
15595	73	11737	14879	0
15596	203	14690	0	14879
15597	117	13139	16811	0
15598	158	6489	2898	0
15599	94	12426	3091	0
15600	108	5352	18840	0
15601	141	491	35169	0
15602	152	14387	8888	0
15603	175	8632	13526	0
15604	87	12713	26086	0
15605	76	1106	12753	0
15606	26	11573	25120	0
15607	7	3174	0	12173
15608	1	5835	1545	0
15609	160	7127	0	23188
15610	99	5927	0	2801
15611	91	1070	10048	0
15612	26	6363	2512	0
15613	75	2475	772	0
15614	143	13676	15652	0
15615	210	3120	0	2705
15616	27	6738	21352	0
15617	4	8330	2898	0
15618	149	12424	28985	0
15619	151	7412	40579	0
15620	143	5085	0	10144
15621	29	6621	20869	0
15622	97	2135	6956	0
15623	38	10678	9275	0
15624	134	4332	4057	0
15625	89	10331	36521	0
15626	155	11009	0	0
15627	193	7522	1642	0
15628	192	9694	386	0
15629	144	14985	1159	0
15630	59	6268	1932	0
15631	158	2929	0	9661
15632	35	13558	3478	0
15633	147	3645	3768	0
15634	51	5747	2415	0
15635	206	6851	2898	0
15636	134	8828	0	12560
15637	51	11368	6280	0
15638	57	7049	42028	0
15639	114	2955	9275	0
15640	38	15317	33913	0
15641	200	13925	4637	0
15642	117	12214	0	14879
15643	80	15005	16231	0
15644	76	13572	966	0
15645	193	10650	29758	0
15646	157	8654	36231	0
15647	133	14881	14782	0
15648	194	5128	2898	0
15649	14	7782	5797	0
15650	45	10173	17004	0
15651	87	2137	5797	0
15652	176	12099	3381	0
15653	189	3348	21739	0
15654	127	13843	5797	0
15655	188	12025	10821	0
15656	119	15199	4251	0
15657	188	3806	22995	0
15658	157	7651	16231	0
15659	25	8839	22608	0
15660	3	5443	9855	0
15661	212	4201	7536	0
15662	95	6102	4251	0
15663	93	7831	13043	0
15664	85	9405	2705	0
15665	174	3583	15072	0
15666	37	3694	12077	0
15667	88	5131	3478	0
15668	101	5854	0	1159
15669	91	13240	6763	0
15670	162	10236	24154	0
15671	27	3175	11594	0
15672	216	3340	0	10821
15673	191	11364	13526	0
15674	69	14270	6763	0
15675	162	12097	5797	0
15676	131	10154	16811	0
15677	57	13685	1159	0
15678	210	12822	18937	0
15679	142	6784	5217	0
15680	58	8935	1932	0
15681	152	13598	2608	0
15682	190	7246	18550	0
15683	63	10512	1159	0
15684	2	14511	5217	0
15685	174	11748	579	0
15686	27	5820	8115	0
15687	90	11798	1642	0
15688	159	14569	34782	0
15689	36	9946	37681	0
15690	6	8030	31884	0
15691	138	9436	6086	0
15692	178	10281	6086	0
15693	174	9069	14492	0
15694	190	8888	1159	0
15695	87	12260	2125	0
15696	147	2301	5314	0
15697	161	10606	1159	0
15698	159	14229	1159	0
15699	50	8035	15942	0
15700	161	10637	7342	0
15701	202	5787	13526	0
15702	90	10084	23188	0
15703	138	12369	0	5410
15704	8	5752	24154	0
15705	184	5568	0	8502
15706	177	15128	23188	0
15707	58	9790	7729	0
15708	97	6331	5603	0
15709	26	3743	966	0
15710	74	3054	2705	0
15711	94	15013	10048	0
15712	20	2589	16231	0
15713	215	13890	4444	0
15714	53	2805	14879	0
15715	206	7214	13816	0
15716	15	6624	23188	0
15717	43	13707	13526	0
15718	48	6672	18260	0
15719	167	880	12173	0
15720	42	9697	2318	0
15721	216	9958	3768	0
15722	37	10330	7826	0
15723	116	11728	28985	0
15724	178	528	15458	0
15725	145	7126	7826	0
15726	23	3420	22028	0
15727	108	9313	2125	0
15728	196	11500	29758	0
15729	90	8163	26086	0
15730	63	10279	26666	0
15731	13	13845	11014	0
15732	171	4194	4637	0
15733	4	13776	2415	0
15734	17	154	9275	0
15735	39	413	579	0
15736	182	10574	8212	0
15737	36	8810	24637	0
15738	59	9122	3478	0
15739	202	9755	6376	0
15740	4	12715	3285	0
15741	86	13067	0	10048
15742	99	13989	10434	0
15743	19	15236	21256	0
15744	1	442	0	14492
15745	145	3854	8888	0
15746	38	12542	2028	0
15747	37	11426	18067	0
15748	2	10439	966	0
15749	101	12497	3864	0
15750	163	12138	31884	0
15751	143	6930	18550	0
15752	103	3529	22222	0
15753	208	5871	12173	0
15754	175	4583	25700	0
15755	209	14486	9565	0
15756	120	8800	2608	0
15757	35	10370	1159	0
15758	54	14345	22028	0
15759	22	2551	32463	0
15760	27	9633	8502	0
15761	210	334	18937	0
15762	22	2493	0	30821
15763	204	1519	6376	0
15764	23	14904	5410	0
15765	15	4881	3864	0
15766	27	6323	869	0
15767	145	11640	5024	0
15768	190	2113	9661	0
15769	111	1147	3768	0
15770	140	3	0	13140
15771	192	12228	6086	0
15772	198	14696	13913	0
15773	90	4143	13816	0
15774	164	5811	14879	0
15775	115	9796	11497	0
15776	173	3851	1545	0
15777	170	9709	33333	0
15778	118	2745	0	1159
15779	158	7054	16908	0
15780	24	14325	9661	0
15781	163	13048	22028	0
15782	96	421	13816	0
15783	153	10128	12173	0
15784	127	6798	2125	0
15785	115	10959	4347	0
15786	72	3137	0	1159
15787	138	4957	36521	0
15788	59	3661	20289	0
15789	17	7598	0	2705
15790	112	10714	0	37681
15791	44	9993	42028	0
15792	184	14727	7826	0
15793	11	10327	2898	0
15794	201	15222	3671	0
15795	150	7086	28985	0
15796	60	4001	5410	0
15797	86	4614	13043	0
15798	101	9358	2898	0
15799	214	5411	2318	0
15800	68	15423	26570	0
15801	48	11650	16908	0
15802	209	4014	5217	0
15803	205	14660	14782	0
15804	93	13854	20289	0
15805	108	3734	4057	0
15806	207	892	2705	0
15807	83	342	10144	0
15808	163	930	2125	0
15809	83	6103	31400	0
15810	125	8300	10434	0
15811	15	3957	7246	0
15812	100	14141	7536	0
15813	3	11603	6086	0
15814	215	6026	0	2898
15815	29	11817	0	3864
15816	203	12594	18937	0
15817	13	2185	12367	0
15818	98	12499	16231	0
15819	83	1449	18550	0
15820	71	2738	2705	0
15821	144	11799	17777	0
15822	140	7415	10821	0
15823	8	11716	15652	0
15824	148	10591	1449	0
15825	165	3373	19130	0
15826	150	7214	1256	0
15827	43	12630	6956	0
15828	60	6259	10628	0
15829	151	4361	6956	0
15830	181	12689	9275	0
15831	76	1683	3381	0
15832	112	6460	579	0
15833	194	10460	14879	0
15834	74	6460	10434	0
15835	115	3750	2608	0
15836	110	6356	16231	0
15837	208	12482	20289	0
15838	184	6005	3188	0
15839	112	2135	676	0
15840	10	12417	4057	0
15841	40	12824	11111	0
15842	174	15088	14492	0
15843	97	14284	20869	0
15844	51	9833	30434	0
15845	122	10015	9661	0
15846	14	3592	8115	0
15847	165	10234	5603	0
15848	67	5386	21642	0
15849	191	11381	8405	0
15850	72	12219	579	0
15851	116	15360	14492	0
15852	28	7501	2318	0
15853	26	11148	1159	0
15854	192	3438	30821	0
15855	169	4085	33913	0
15856	116	8538	1739	0
15857	72	10609	4251	0
15858	1	10017	35169	0
15859	156	14456	1449	0
15860	41	14498	37681	0
15861	198	10745	772	0
15862	8	5928	1449	0
15863	20	369	19323	0
15864	160	15245	10628	0
15865	35	8557	4830	0
15866	71	8001	0	772
15867	87	7949	2801	0
15868	16	5329	0	0
15869	22	688	14782	0
15870	43	9515	6376	0
15871	85	1267	31111	0
15872	163	9708	1545	0
15873	37	4963	6183	0
15874	94	15296	9661	0
15875	167	13800	21642	0
15876	177	9587	0	869
15877	63	5514	15942	0
15878	202	2705	8888	0
15879	147	7813	193	0
15880	117	4218	20869	0
15881	125	13031	15555	0
15882	66	1313	10048	0
15883	106	14245	32463	0
15884	120	9013	10434	0
15885	170	108	6763	0
15886	177	8711	21352	0
15887	30	7110	20289	0
15888	41	9004	1449	0
15889	189	6531	26086	0
15890	17	12836	28019	0
15891	90	11345	8695	0
15892	67	3853	1352	0
15893	204	12126	23478	0
15894	151	8570	43478	0
15895	79	6624	33333	0
15896	141	14762	19323	0
15897	106	8696	26086	0
15898	57	3330	4347	0
15899	149	12770	3478	0
15900	206	4800	0	0
15901	124	2872	14202	0
15902	146	3708	2512	0
15903	61	4295	15942	0
15904	139	9734	0	8792
15905	133	14203	3478	0
15906	72	8938	26086	0
15907	23	2885	16521	0
15908	7	5785	23188	0
15909	87	9645	26086	0
15910	139	11949	6763	0
15911	173	1923	21642	0
15912	89	4091	289	0
15913	157	5447	8695	0
15914	119	1940	15072	0
15915	206	9788	18357	0
15916	120	2463	772	0
15917	173	5144	3864	0
15918	129	7677	27632	0
15919	156	13232	7826	0
15920	55	3689	5024	0
15921	83	5213	8115	0
15922	204	14980	13526	0
15923	57	14847	23188	0
15924	183	11298	37681	0
15925	67	15344	2705	0
15926	100	9681	13043	0
15927	74	13433	0	3768
15928	115	8466	2125	0
15929	115	1697	30144	0
15930	122	7057	14202	0
15931	122	4876	18840	0
15932	3	11115	579	0
15933	106	6383	1256	0
15934	213	10184	4637	0
15935	214	1651	8502	0
15936	169	9997	16811	0
15937	63	2482	14685	0
15938	96	15165	8792	0
15939	20	14774	11594	0
15940	112	4292	9565	0
15941	23	8975	4830	0
15942	2	14177	12753	0
15943	94	5407	579	0
15944	177	9182	1062	0
15945	177	12961	7246	0
15946	110	3666	8792	0
15947	25	6179	5797	0
15948	43	2132	26086	0
15949	93	3513	4734	0
15950	23	2182	1352	0
15951	213	14611	6086	0
15952	139	9143	36521	0
15953	107	11787	16908	0
15954	170	5786	12753	0
15955	184	1884	11594	0
15956	186	10115	12173	0
15957	16	909	2898	0
15958	148	8444	11111	0
15959	151	14947	966	0
15960	113	4822	2705	0
15961	9	14900	6666	0
15962	43	2108	39227	0
15963	38	14426	5797	0
15964	39	13193	3478	0
15965	10	14881	8695	0
15966	1	5852	0	22608
15967	138	6475	2222	0
15968	55	1750	0	13913
15969	112	12939	22222	0
15970	165	15072	16231	0
15971	45	8295	16231	0
15972	173	7204	6570	0
15973	1	4294	13913	0
15974	167	3757	33333	0
15975	125	1447	14685	0
15976	102	1159	2318	0
15977	48	5020	2028	0
15978	119	4289	0	17391
15979	119	6828	29758	0
15980	176	431	18260	0
15981	101	1100	1545	0
15982	140	9984	1739	0
15983	161	15064	1352	0
15984	8	3856	0	18260
15985	149	910	2415	0
15986	180	13447	21739	0
15987	71	8615	5603	0
15988	141	8580	11594	0
15989	96	15087	2318	0
15990	104	11019	14202	0
15991	143	6293	0	2415
15992	93	12032	20869	0
15993	75	2171	16908	0
15994	182	4872	12173	0
15995	214	9589	3768	0
15996	20	4608	1739	0
15997	85	5559	869	0
15998	27	1243	0	4057
15999	115	2715	20869	0
16000	53	2272	8792	0
16001	102	3362	17391	0
16002	192	8800	22415	0
16003	66	8137	36521	0
16004	2	11465	10821	0
16005	36	4706	32657	0
16006	196	4399	2608	0
16007	198	3867	13526	0
16008	180	12972	8115	0
16009	126	14308	19323	0
16010	43	12371	26570	0
16011	55	7053	16425	0
16012	202	9176	8115	0
16013	183	8647	5603	0
16014	39	447	43478	0
16015	117	6429	386	0
16016	199	14825	3188	0
16017	153	777	0	17584
16018	109	15527	7729	0
16019	188	3171	0	966
16020	18	8139	23478	0
16021	214	580	2705	0
16022	179	14336	14879	0
16023	211	5828	3768	0
16024	28	2164	0	18937
16025	89	120	11304	0
16026	55	14694	1449	0
16027	98	14922	1449	0
16028	38	4573	2028	0
16029	21	9199	32463	0
16030	104	5020	12173	0
16031	3	6293	7439	0
16032	7	12334	16811	0
16033	59	11761	0	7246
16034	173	6404	1352	0
16035	25	2242	289	0
16036	51	4773	10434	0
16037	48	11932	21256	0
16038	20	6139	18840	0
16039	130	13876	5410	0
16040	104	10088	1159	0
16041	125	8351	6956	0
16042	127	5171	579	0
16043	111	2195	31304	0
16044	132	5971	386	0
16045	20	1800	1932	0
16046	152	4213	40579	0
16047	83	5021	6763	0
16048	126	9416	16521	0
16049	214	7550	1352	0
16050	76	3542	8792	0
16051	179	3451	12173	0
16052	1	5780	2028	0
16053	17	2155	12560	0
16054	150	870	4637	0
16055	27	6329	28985	0
16056	208	361	10048	0
16057	83	10933	23381	0
16058	180	6305	32657	0
16059	71	961	22222	0
16060	30	8157	21352	0
16061	186	3603	3768	0
16062	126	1720	14492	0
16063	57	665	1159	0
16064	62	2638	30821	0
16065	122	11431	13913	0
16066	62	8580	4251	0
16067	27	5477	12753	0
16068	140	6078	289	0
16069	210	6170	25120	0
16070	145	11176	2318	0
16071	97	13577	9275	0
16072	82	7028	18357	0
16073	125	14609	16328	0
16074	75	8825	3478	0
16075	97	6007	1545	0
16076	154	10835	4251	0
16077	107	11725	26086	0
16078	74	2261	10821	0
16079	40	99	15072	0
16080	210	6876	14009	0
16081	193	1377	30144	0
16082	41	8037	26666	0
16083	192	855	5603	0
16084	52	2550	3381	0
16085	37	648	24347	0
16086	175	5824	16231	0
16087	136	12962	11594	0
16088	169	14618	13913	0
16089	165	2103	7439	0
16090	63	14650	4057	0
16091	31	4435	5797	0
16092	86	3396	2705	0
16093	33	12305	3188	0
16094	199	11186	36231	0
16095	148	5235	18067	0
16096	29	12815	2705	0
16097	148	8197	11594	0
16098	4	14968	0	21352
16099	22	10427	0	0
16100	122	1075	5797	0
16101	71	4250	13043	0
16102	49	14371	15458	0
16103	196	3215	0	42028
16104	140	3485	32657	0
16105	166	241	386	0
16106	146	4837	386	0
16107	77	7328	8115	0
16108	67	3582	28985	0
16109	123	15405	7729	0
16110	147	8334	16328	0
16111	44	7031	19710	0
16112	122	4009	8115	0
16113	4	12813	12753	0
16114	70	10631	16811	0
16115	115	452	579	0
16116	120	7523	1739	0
16117	149	1588	2898	0
16118	63	9770	13526	0
16119	191	4619	31884	0
16120	48	1318	1449	0
16121	41	9508	2608	0
16122	156	10062	2898	0
16123	5	15511	13913	0
16124	214	12289	12753	0
16125	9	10295	15942	0
16126	60	4455	20000	0
16127	80	3344	6376	0
16128	93	2410	20289	0
16129	97	7610	40579	0
16130	12	1520	14879	0
16131	209	5696	0	11014
16132	211	302	40579	0
16133	185	1195	3381	0
16134	82	101	20289	0
16135	53	14146	16231	0
16136	71	2860	0	22995
16137	121	12755	4637	0
16138	113	6442	5024	0
16139	20	10217	11497	0
16140	126	7397	36231	0
16141	92	659	18067	0
16142	114	4633	772	0
16143	81	4615	14492	0
16144	76	14585	28888	0
16145	156	14813	11594	0
16146	207	7820	8695	0
16147	203	5350	28019	0
16148	53	11846	2898	0
16149	161	15385	0	1159
16150	91	8709	28985	0
16151	155	15550	22608	0
16152	34	4840	6086	0
16153	151	1865	18357	0
16154	123	134	5410	0
16155	175	8057	2512	0
16156	100	3390	2318	0
16157	23	14617	13043	0
16158	51	3566	5024	0
16159	164	4745	26376	0
16160	216	7638	13526	0
16161	123	9045	2318	0
16162	5	1906	0	10821
16163	166	4675	23478	0
16164	33	6670	9565	0
16165	85	2050	22995	0
16166	97	10752	2898	0
16167	127	12626	8115	0
16168	201	9804	0	34782
16169	159	1818	2125	0
16170	108	9971	26086	0
16171	163	8396	8792	0
16172	68	12364	29758	0
16173	25	14268	0	5507
16174	109	7783	676	0
16175	36	7202	1352	0
16176	16	3908	18937	0
16177	4	9169	5797	0
16178	106	6368	0	7246
16179	158	13139	7439	0
16180	71	5175	193	0
16181	28	11953	22995	0
16182	205	5604	21642	0
16183	201	9734	0	0
16184	89	12893	2028	0
16185	123	3656	28695	0
16186	92	6339	0	1159
16187	183	7158	19323	0
16188	134	7521	1739	0
16189	69	13361	20289	0
16190	192	14498	11594	0
16191	39	10526	5797	0
16192	213	10903	10048	0
16193	109	4677	5797	0
16194	55	13112	36521	0
16195	50	11335	17391	0
16196	46	271	0	20096
16197	72	1925	27053	0
16198	125	7152	579	0
16199	44	2963	28019	0
16200	202	12820	25507	0
16201	42	7338	19323	0
16202	165	14626	6763	0
16203	35	9577	2898	0
16204	64	4881	10434	0
16205	62	13883	6956	0
16206	52	1805	14492	0
16207	59	13207	25120	0
16208	41	13422	0	5507
16209	13	7405	8115	0
16210	131	13210	0	15555
16211	175	12814	10048	0
16212	98	7091	8695	0
16213	203	12658	1256	0
16214	144	7485	13913	0
16215	76	3952	4637	0
16216	161	317	0	3478
16217	118	7594	0	579
16218	4	3060	12753	0
16219	118	4223	39130	0
16220	145	4498	8695	0
16221	144	4364	0	96
16222	162	6764	25217	0
16223	65	11902	5410	0
16224	17	12264	19710	0
16225	217	11378	37874	0
16226	214	3769	5410	0
16227	141	14377	3768	0
16228	174	4389	10434	0
16229	155	4031	4347	0
16230	127	6172	18550	0
16231	19	1896	8888	0
16232	215	14328	8792	0
16233	118	1950	5024	0
16234	167	4548	17391	0
16235	212	8508	10821	0
16236	119	1248	3864	0
16237	50	7433	3478	0
16238	117	3488	0	11594
16239	3	2230	1739	0
16240	122	8257	20289	0
16241	102	3375	36521	0
16242	156	12629	18357	0
16243	95	719	193	0
16244	168	7227	19130	0
16245	117	13575	0	2512
16246	59	9045	2608	0
16247	41	6641	7826	0
16248	64	3870	27826	0
16249	172	11357	2898	0
16250	36	9157	3478	0
16251	176	13520	23188	0
16252	106	14427	8115	0
16253	86	9113	2125	0
16254	152	11148	3188	0
16255	151	5043	18260	0
16256	60	12025	0	8115
16257	33	6759	40579	0
16258	147	4316	25507	0
16259	162	15054	39130	0
16260	15	8961	13913	0
16261	53	13110	2705	0
16262	20	6973	1159	0
16263	90	2241	9565	0
16264	22	2803	0	9565
16265	70	12092	6956	0
16266	152	1941	6376	0
16267	142	6262	6183	0
16268	121	9014	772	0
16269	141	15439	14492	0
16270	101	5830	19323	0
16271	177	8910	1062	0
16272	171	5939	19130	0
16273	92	7261	8502	0
16274	48	5609	2415	0
16275	4	13326	483	0
16276	200	8465	2318	0
16277	52	2857	9275	0
16278	96	5239	22028	0
16279	16	265	1159	0
16280	153	7965	5217	0
16281	139	14165	386	0
16282	103	13377	2318	0
16283	81	7320	6956	0
16284	176	8006	1159	0
16285	202	14138	17391	0
16286	28	7305	18840	0
16287	195	13221	3768	0
16288	210	8504	0	4927
16289	183	1246	1545	0
16290	77	11477	11111	0
16291	187	7417	2801	0
16292	186	14149	2318	0
16293	190	13578	11594	0
16294	154	15407	772	0
16295	46	12923	6086	0
16296	190	5842	20869	0
16297	48	10621	193	0
16298	47	14984	1932	0
16299	159	8115	5314	0
16300	56	13677	1449	0
16301	47	12341	1545	0
16302	52	10867	1352	0
16303	58	1192	386	0
16304	203	9255	23188	0
16305	25	15523	12753	0
16306	63	3923	4637	0
16307	134	2570	2705	0
16308	131	9872	8695	0
16309	16	8886	869	0
16310	85	429	3864	0
16311	165	3510	25507	0
16312	2	13329	39130	0
16313	93	3035	4057	0
16314	16	11628	16231	0
16315	48	13590	0	9661
16316	139	13652	17584	0
16317	25	15119	483	0
16318	197	9277	0	2512
16319	190	6085	14202	0
16320	133	11667	12753	0
16321	9	12898	1545	0
16322	174	989	579	0
16323	170	12295	15458	0
16324	1	8124	33816	0
16325	93	3675	14879	0
16326	146	14249	7246	0
16327	150	7789	7826	0
16328	214	13993	4347	0
16329	142	2499	28019	0
16330	186	10948	8695	0
16331	141	160	0	5410
16332	13	2316	12560	0
16333	99	14781	12560	0
16334	71	1134	2705	0
16335	115	4615	7246	0
16336	112	3900	8115	0
16337	192	8308	0	16328
16338	216	2289	966	0
16339	211	8913	772	0
16340	178	6002	4251	0
16341	6	3722	10434	0
16342	23	1583	14879	0
16343	216	11126	3091	0
16344	170	7225	3478	0
16345	101	10242	7536	0
16346	2	8884	7246	0
16347	184	12110	20289	0
16348	44	5486	9275	0
16349	110	1995	2318	0
16350	39	13838	579	0
16351	13	11363	33623	0
16352	106	7372	2415	0
16353	145	2423	13333	0
16354	16	5886	3285	0
16355	116	5085	24347	0
16356	122	9985	6763	0
16357	190	7207	0	16231
16358	142	210	1739	0
16359	180	10468	2608	0
16360	67	13502	16231	0
16361	178	10023	13816	0
16362	32	14512	4637	0
16363	18	2211	0	6086
16364	147	4836	3478	0
16365	28	6032	386	0
16366	182	10445	16231	0
16367	50	1849	6956	0
16368	83	6346	9565	0
16369	16	8939	21642	0
16370	42	10564	33816	0
16371	1	2566	1545	0
16372	209	71	7729	0
16373	62	3373	676	0
16374	47	1356	2318	0
16375	134	347	2125	0
16376	81	5595	25700	0
16377	185	3496	20869	0
16378	199	4177	30144	0
16379	51	1874	2801	0
16380	182	1317	5797	0
16381	206	2352	4347	0
16382	98	15048	2125	0
16383	70	13511	8695	0
16384	192	13482	0	4927
16385	129	830	3864	0
16386	173	2881	8115	0
16387	199	14643	28985	0
16388	43	14991	17391	0
16389	135	9259	27053	0
16390	84	11549	25700	0
16391	168	1937	8695	0
16392	131	11962	4251	0
16393	200	481	42028	0
16394	196	2041	9275	0
16395	116	918	32463	0
16396	10	4385	13526	0
16397	176	5578	0	0
16398	209	10862	5797	0
16399	24	4791	21256	0
16400	82	14326	18260	0
16401	82	3056	6183	0
16402	28	15262	2898	0
16403	144	860	1545	0
16404	5	2135	2898	0
16405	111	5669	869	0
16406	43	7491	1159	0
16407	133	12179	5024	0
16408	71	13641	13913	0
16409	122	6916	4347	0
16410	181	11028	26570	0
16411	67	8907	27632	0
16412	139	8227	579	0
16413	41	5553	13816	0
16414	11	12033	16231	0
16415	19	8183	21256	0
16416	86	11096	579	0
16417	21	5890	0	13526
16418	213	5179	3478	0
16419	162	876	24347	0
16420	207	10881	20096	0
16421	178	2968	5024	0
16422	56	15217	24154	0
16423	39	2119	42028	0
16424	15	12279	8115	0
16425	27	605	4347	0
16426	77	15335	13913	0
16427	145	13373	8115	0
16428	26	2253	3381	0
16429	203	13346	15458	0
16430	143	7786	6280	0
16431	110	13880	2608	0
16432	2	10656	2318	0
16433	100	8882	10144	0
16434	200	11769	0	18260
16435	121	15094	31400	0
16436	205	8584	20289	0
16437	38	3465	12173	0
16438	158	13354	6956	0
16439	51	10368	23188	0
16440	134	3201	5410	0
16441	93	4403	27826	0
16442	182	10432	3381	0
16443	1	13162	1545	0
16444	62	10140	5410	0
16445	71	4541	13913	0
16446	118	3411	9565	0
16447	85	5579	966	0
16448	109	1920	5603	0
16449	82	15414	386	0
16450	66	14130	0	1159
16451	198	13082	8695	0
16452	59	15135	10048	0
16453	70	2896	13526	0
16454	102	2084	869	0
16455	14	2227	8115	0
16456	132	2732	20869	0
16457	112	15377	1932	0
16458	203	10866	4251	0
16459	79	7810	27053	0
16460	116	1663	2705	0
16461	147	6281	18357	0
16462	61	15466	23188	0
16463	8	4229	483	0
16464	24	7986	23478	0
16465	42	11319	11594	0
16466	143	3739	966	0
16467	108	3565	1352	0
16468	41	6065	7826	0
16469	207	2179	6376	0
16470	136	8551	2512	0
16471	108	593	11497	0
16472	125	5741	4251	0
16473	178	2694	966	0
16474	59	2977	36231	0
16475	144	4383	2898	0
16476	153	13764	2125	0
16477	141	12158	30434	0
16478	107	13116	6956	0
16479	207	15534	8502	0
16480	213	15288	9178	0
16481	128	1997	22995	0
16482	8	8372	10821	0
16483	122	7166	1159	0
16484	78	709	9565	0
16485	12	14662	15942	0
16486	91	10521	2898	0
16487	172	11091	0	8115
16488	93	3654	0	4251
16489	156	13296	25700	0
16490	146	1261	23188	0
16491	126	9756	483	0
16492	153	11079	6763	0
16493	99	9117	579	0
16494	137	8738	8115	0
16495	81	3870	1062	0
16496	143	14837	3091	0
16497	16	6909	0	483
16498	109	10575	10628	0
16499	215	13707	6183	0
16500	140	9024	772	0
16501	101	8397	2318	0
16502	205	13083	4251	0
16503	35	1841	5314	0
16504	213	15424	3864	0
16505	139	11333	0	483
16506	112	15321	3864	0
16507	212	1650	869	0
16508	203	9602	2318	0
16509	36	6216	26086	0
16510	45	6203	2512	0
16511	117	9381	1545	0
16512	63	15461	28695	0
16513	175	9990	23188	0
16514	213	12426	8792	0
16515	192	8590	13913	0
16516	114	12822	5217	0
16517	140	791	13526	0
16518	54	14282	12173	0
16519	146	8047	2898	0
16520	40	1255	10821	0
16521	8	6096	6376	0
16522	47	7045	13816	0
16523	78	1354	10434	0
16524	80	13592	7729	0
16525	24	5951	772	0
16526	113	7104	15942	0
16527	195	14731	8792	0
16528	91	4751	20096	0
16529	36	6463	14009	0
16530	200	12127	0	7729
16531	80	8242	8502	0
16532	46	1564	2415	0
16533	144	14451	2415	0
16534	55	10033	1932	0
16535	166	3521	6956	0
16536	124	12788	2512	0
16537	168	6641	16231	0
16538	125	3165	31884	0
16539	75	8917	0	12560
16540	10	8738	9565	0
16541	51	7995	0	16328
16542	62	12943	16231	0
16543	188	10019	3864	0
16544	114	7771	11497	0
16545	214	5444	1739	0
16546	217	8355	12367	0
16547	47	14694	6956	0
16548	11	15502	3381	0
16549	172	1476	12850	0
16550	216	4259	7536	0
16551	34	9262	8115	0
16552	121	1068	15072	0
16553	28	7531	5217	0
16554	93	6164	11594	0
16555	112	15221	3478	0
16556	65	11470	3768	0
16557	200	326	5024	0
16558	34	6511	0	966
16559	105	2536	0	483
16560	155	1818	33333	0
16561	83	4155	289	0
16562	41	14731	6956	0
16563	120	10724	2125	0
16564	165	7967	869	0
16565	94	9163	19710	0
16566	170	5196	12560	0
16567	144	7917	1159	0
16568	38	12757	8502	0
16569	217	1075	0	21739
16570	4	575	23188	0
16571	202	9337	1449	0
16572	36	4164	21642	0
16573	90	2092	6956	0
16574	105	13486	2898	0
16575	188	12969	14685	0
16576	55	1724	17584	0
16577	176	14247	15942	0
16578	123	14613	16231	0
16579	106	5003	2705	0
16580	94	14670	5797	0
16581	195	8542	16231	0
16582	142	7129	6763	0
16583	172	411	386	0
16584	73	6506	1932	0
16585	100	9454	8695	0
16586	208	10673	4734	0
16587	38	8655	7729	0
16588	152	5055	0	11014
16589	20	3803	28695	0
16590	87	6032	0	2512
16591	213	1889	10434	0
16592	188	10813	10821	0
16593	82	2820	22608	0
16594	84	7511	2318	0
16595	105	99	18840	0
16596	49	14189	0	6570
16597	215	3153	8695	0
16598	157	14482	26086	0
16599	61	12769	483	0
16600	128	11384	6376	0
16601	35	8097	22415	0
16602	185	10473	13816	0
16603	41	4763	2801	0
16604	58	12557	3768	0
16605	144	649	3091	0
16606	196	5813	0	13913
16607	191	11982	4347	0
16608	195	13764	12367	0
16609	185	2689	4444	0
16610	73	2754	24347	0
16611	94	9848	27536	0
16612	123	14512	5410	0
16613	199	4201	13043	0
16614	25	2758	0	19130
16615	216	13386	3478	0
16616	158	11803	0	33913
16617	186	12019	8212	0
